"time","type","buySideTrader","sellSideTrader","size","price","penalty"
"4","Trade","opportunisticTrader","hfTrader","58","2285",""
"4","Trade","fundamentalSeller","fundamentalBuyer","107","2285",""
"4","Trade","fundamentalSeller","fundamentalBuyer","107","2285",""
"4","Trade","intermediary","hfTrader","440","2285",""
"4","Trade","intermediary","hfTrader","440","2285",""
"4","Trade","intermediary","hfTrader","440","2285",""
"4","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"4","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"4","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"4","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"4","Trade","intermediary","hfTrader","440","2118",""
"4","Trade","intermediary","fundamentalSeller-1","440","2618",""
"4","Trade","intermediary","hfTrader","24","2118",""
"4","Trade","smallTrader","hfTrader","0","1510",""
"4","Trade","opportunisticTrader","hfTrader","0","1510",""
"4","Trade","fundamentalSeller","fundamentalBuyer","200","37500",""
"4","Trade","fundamentalSeller","fundamentalBuyer","200","37500",""
"4","Trade","fundamentalSeller","fundamentalSeller","86","37500",""
"4","Trade","fundamentalSeller","fundamentalSeller","86","37500",""
"4","Trade","hfTrader","fundamentalBuyer","1720","1500",""
"4","Trade","hfTrader","fundamentalBuyer","1720","1500",""
"4","Trade","hfTrader","fundamentalBuyer","1720","1500",""
"4","Trade","fundamentalBuyer-1","intermediary","500","1500",""
"4","Trade","intermediary","intermediary","11","1500",""
"4","Trade","intermediary","intermediary","11","1500",""
"4","Trade","intermediary","intermediary","11","1500",""
"4","Trade","opportunisticTrader","intermediary","58","52",""
"4","Trade","opportunisticTrader","smallTrader","58","3071",""
"4","Trade","opportunisticTrader","smallTrader","58","3071",""
"4","Trade","opportunisticTrader","hfTrader","58","2285",""
"4","Trade","opportunisticTrader","hfTrader","58","2285",""
"4","Trade","fundamentalSeller","fundamentalBuyer","107","2285",""
